Country Code,CO2
AFG,0.299444990875517
ALB,1.97876331208568
DZA,3.71740990081817
AND,5.83216995064565
AGO,1.29132831504477
ATG,5.37764854614412
ARB,4.86023383242015
ARG,4.74679745467325
ARM,1.9027589101995
ABW,8.408362637892
AUS,15.3701377604233
AUT,6.873713220337
AZE,3.93156060898919
BHS,6.3232575117291
BHR,23.4497548258489
BGD,0.459141964802809
BRB,4.49017767348307
BLR,6.70195770525782
BEL,8.32815989783976
BLZ,1.407601494481
BEN,0.61421385181193
BMU,8.83831498794885
BTN,1.28932137116716
BOL,1.93241949870287
BIH,6.23471916168303
BWA,3.24328763661634
BRA,2.59438828549778
VGB,6.07283358118156
BRN,22.1247012416688
BGR,5.87161586934993
BFA,0.162018806234081
BDI,0.0444853762564713
CPV,0.933403237234465
KHM,0.437759998009271
CMR,0.314928068034826
CAN,15.1171587794778
CSS,8.88454138458529
CYM,9.17183803150139
CAF,0.066593110852834
CEB,6.14888253990517
TCD,0.0537776877715938
CHL,4.68737662371284
CHN,7.54390764144927
COL,1.75953717356061
COM,0.202814119320239
COD,0.0633691910487466
COG,0.635369293307611
CRI,1.63095106225335
CIV,0.490206046242236
HRV,3.97380490559031
CUB,3.04521062360798
CUW,37.7262890532298
CYP,5.26035204098901
CZE,9.16597837581982
DNK,5.9357124821143
DJI,0.791961752491876
DMA,1.86428591057737
DOM,2.0699866344335
EAR,2.29530215229644
EAS,6.29352625307985
TEA,5.82786717938883
EAP,5.77547834477085
ECU,2.76170217502084
EGY,2.19898024634231
SLV,1.00064462317564
GNQ,4.7338165294876
EST,14.848819173174
ETH,0.119124014522654
EMU,6.47562123823682
ECS,6.91620941637548
TEC,7.39582069058737
ECA,7.38552481686205
EUU,6.37960860062395
FRO,12.2378485729495
FJI,1.32057470823182
FIN,8.66072124349448
FCS,0.877975707067812
FRA,4.5720882491356
PYF,2.91513481726706
GAB,2.7682657208219
GMB,0.267684889136388
GEO,2.41154199087738
DEU,8.88937039483839
GHA,0.536533377780147
GIB,15.5134849286092
GRC,6.18033726778447
GRL,8.98918198774314
GRD,2.27549830763445
GTM,1.15097799430391
GIN,0.207492620606193
GNB,0.157241166708388
GUY,2.63234795184132
HTI,0.270538585794459
HPC,0.2653421500774
HIC,10.9814265929935
HND,1.07522179045218
HKG,6.39360052562418
HUN,4.2655749757664
IBD,4.5085594874331
IBT,3.529660071464
IDB,0.880445467307095
IDX,0.348440392892661
IDA,0.525891423579314
ISL,6.05965740746397
IND,1.73000043156161
IDN,1.81936331905513
IRN,8.28302078741615
IRQ,4.81183968613452
IRL,7.37811780885705
ISR,7.86318134790706
ITA,5.27086678640296
JAM,2.59321537046218
JPN,9.53870610327163
JOR,3.00251472703979
KAZ,14.3623896595937
KEN,0.310415313666165
KIR,0.564368357203643
PRK,1.61359684123056
KOR,11.5703454093401
KWT,25.2238644264961
KGZ,1.64639533887413
LAO,0.297200883705774
LTE,6.74488003127983
LCN,3.06330709887928
LAC,2.91917062373406
TLA,3.03280490623507
LVA,3.49819288166911
LDC,0.314163046682849
LBN,4.29573255231446
LSO,1.15011103162712
LBR,0.21296766351526
LBY,9.18684539340708
LIE,1.18522907856816
LTU,4.37809012309851
LMY,3.48458132228428
LIC,0.253993645380011
LMC,1.47018381932411
LUX,17.3621213728095
MAC,2.17984275987167
MKD,3.61493818276338
MDG,0.130421320637677
MWI,0.0747629100469522
MYS,8.03299157864044
MDV,3.26955984979681
MLI,0.0832286633976398
MLT,5.4915247891727
MHL,1.94101856402889
MRT,0.666822427606843
MUS,3.35311047207863
MEX,3.86624111265674
FSM,1.44543575445849
MEA,6.15946129398785
TMN,3.96754448845233
MNA,3.92725336447406
MIC,3.85248163432338
MDA,1.38682914196587
MNG,7.12732634813277
MNE,3.5560717904183
MAR,1.74437997438202
MOZ,0.309666606914455
MMR,0.416600361658081
NAM,1.58372866715704
NRU,4.02185100818358
NPL,0.283538525834667
NLD,9.92013807523839
NCL,16.0089179104478
NZL,7.68657582544293
NIC,0.808520855597367
NER,0.111073515505541
NGA,0.545622113213755
NAC,16.3541450689123
NOR,9.27094513154166
OED,9.53409080634332
OMN,15.4431671894823
OSS,7.52119225847801
PSS,1.06414968632188
PAK,0.896264105182138
PLW,12.3427040864701
PAN,2.2543113627969
PNG,0.81464880730964
PRY,0.870219290588263
PER,1.99348594924528
PHL,1.05545684592961
POL,7.51715158489872
PRT,4.33155402784831
PST,10.3547880121328
PRE,0.536757223017314
QAT,45.4232399589121
ROU,3.51615369125659
RUS,11.8575277737052
RWA,0.074016445670242
WSM,1.02978834052733
STP,0.594339819936633
SAU,19.5292717983416
SEN,0.608809117433519
SRB,5.28252191688301
SYC,5.41867796276229
SLE,0.184925701657908
SGP,10.306331909983
SXM,19.4613241342709
SVK,5.66158132774424
SVN,6.21368684468327
SST,7.38541397000408
SLB,0.350449345269538
SOM,0.0450467230932889
ZAF,8.98011929723466
SAS,1.46147340459513
TSA,1.46147340459513
SSD,0.129749350683477
ESP,5.03382448723757
LKA,0.88554580906071
KNA,4.2989449003517
LCA,2.30719132076113
VCT,1.91134540998747
SSF,0.840453498292605
TSS,0.840453498292605
SSA,0.840028002205044
SUR,3.6340194332102
SWZ,0.92871499200446
SWE,4.47818217821374
CHE,4.31156299409097
SYR,1.59889845852933
TJK,0.620466724741697
TZA,0.221347372384527
THA,4.62186003163084
TLS,0.387014002147073
TGO,0.362696891580548
TON,1.14396589211775
TTO,34.1632426302683
TUN,2.58705958448329
TUR,4.49147902571948
TKM,12.5172953406189
TCA,6.08648744776075
TUV,1.00852585258526
UGA,0.134656000985545
UKR,5.02074706440171
ARE,23.3020225078816
GBR,6.49744049045117
USA,16.4936661316231
UMC,6.59782599563824
URY,1.97315082177576
UZB,3.42072274584901
VUT,0.594993239327796
VEN,6.02569758235129
VNM,1.80356574966869
WLD,4.97003874902896
YEM,0.864834534752234
ZMB,0.288271141095299
ZWE,0.779955845162839
